station_id,name,lat_wgs84,lon_wgs84,E_lv95,N_lv95,location_type,wifi_category,wifi_quality_score,operator_network,indoor_outdoor,hours,has_power_outlets,google_rating,google_review_count,connectivity_cluster,wifi_desert,review_mentions_remote_work,day_pass_chf,review_snippet,source,notes
WIFI_024,Gland (wifi desert zone),46.417,6.268,2510000.7,1141300.5,town_center,wifi_desert,1,none,N/A,N/A,no,,,desert,yes,no,N/A,,research,WIFI DESERT 2 — Gland to Allaman; no outdoor public WiFi
WIFI_025,WorkStop Bogis-Bossey,46.31,6.19,2503815.0,1129499.9,coworking,coworking,4,WorkStop,indoor,business hours,yes,,,mid-corridor,no,yes,45,First non-urban coworking in Switzerland,workstop.co,Rural coworking — explicitly serving non-urban remote workers
WIFI_026,Morges SBB-FREE,46.5113,6.4983,2527831.1,1151544.0,train_station,sbb_free,4,SBB-FREE,indoor,05:00-01:00,yes,,,Morges,no,no,free,,data.sbb.ch,Regional hub
WIFI_027,Society Coworking Morges,46.5156,6.5042,2528289.6,1152016.6,coworking,coworking,4,Society,indoor,08:00-17:00 Mon-Fri,yes,4.6,20,Morges,no,yes,35,1 min walk to the lake; bikes and paddle surf available; lunch included,Google Places,Digital-nomad-friendly; near lake; food included
WIFI_028,Lausanne Gare SBB-FREE,46.5171,6.6292,2537883.7,1152076.6,train_station,sbb_free,4,SBB-FREE,indoor,04:30-01:30,yes,4.0,1964,Lausanne,no,no,free,"96,700 passengers/day; 3rd largest station in Switzerland",Google Places + data.sbb.ch,"96,700 passengers/day; 3rd largest station"
WIFI_029,Place de la Riponne Citycable WiFi,46.5228,6.633,2538181.8,1152707.2,public_square,municipal_wifi,3,VDL-public / Citycable,outdoor,24/7,no,,,Lausanne,no,no,free,,lausanne.ch,Lausanne Citycable: 78 hotspots across 17 zones
WIFI_030,Port d'Ouchy Citycable WiFi,46.5073,6.629,2537857.1,1150987.4,public_square,municipal_wifi,3,VDL-public / Citycable,outdoor,24/7,no,,,Lausanne,no,no,free,Lausanne waterfront; CGN port,lausanne.ch,Only lakefront WiFi between Geneva and Villeneuve (outside Geneva)
WIFI_031,Quartier du Flon Citycable WiFi,46.5213,6.627,2537719.7,1152545.2,public_square,municipal_wifi,3,VDL-public / Citycable,outdoor,24/7,no,,,Lausanne,no,no,free,Trendy district; near Metro M1,lausanne.ch,Entertainment district
WIFI_032,Place Saint-François Citycable WiFi,46.5193,6.6343,2538277.5,1152317.1,public_square,municipal_wifi,3,VDL-public / Citycable,outdoor,24/7,no,,,Lausanne,no,no,free,Central Lausanne,lausanne.ch,Central commercial node
WIFI_033,Gotham Lausanne Gare,46.5164,6.6328,2538159.1,1151995.9,coworking,coworking,5,Gotham,indoor,08:00-18:00 Mon-Fri,yes,4.4,153,Lausanne,no,yes,35,2 minutes walk from Lausanne train station; free Wi-Fi; great decor,Google Places,"2,500m²; directly adjacent to Lausanne Gare"
WIFI_034,Gotham Lausanne Flon,46.5223,6.6253,2537590.4,1152657.7,coworking,coworking,4,Gotham,indoor,08:00-18:00 Mon-Fri,yes,4.3,24,Lausanne,no,yes,35,GSM connection virtually non-existent in the building — WiFi only,Google Places,Review flags: no cellular inside — WiFi dependence is real here
WIFI_035,Impact Hub Lausanne,46.5286,6.6256,2537620.7,1153357.7,coworking,coworking,5,Impact Hub,indoor,09:00-18:00 Mon-Fri,yes,4.6,84,Lausanne,no,yes,35,Best co-working space in Lausanne; loads of inspiring people,Google Places,"3,000m² at Halle 18 Beaulieu; active digital nomad community"
WIFI_036,Cospire Coworking Lausanne,46.5258,6.6108,2536481.9,1153058.4,coworking,coworking,5,Cospire,indoor,09:00-17:00 Mon-Fri,yes,4.9,35,Lausanne,no,yes,35,Internet is really fast; staff helpful; free delicious coffee,Google Places,Family-owned; high quality; CHF 35/day
WIFI_037,T19 Bi Coworking Lausanne,46.5209,6.6153,2536821.5,1152510.1,coworking,coworking,5,T19,indoor,24/7,yes,4.6,44,Lausanne,no,yes,30,Best place to work in Lausanne. And the fiber helps a lot!,Google Places,Fiber connection; accessible by metro
WIFI_038,Work'n'Share Lausanne,46.5083,6.6263,2537651.0,1151100.7,coworking,coworking,4,Work'n'Share,indoor,08:00-19:00,yes,4.6,36,Lausanne,no,yes,35,"Community cooks together, swims in the lake, cycles — beyond just WiFi",Google Places,Community model; near lake
WIFI_039,Coworking de la Madeleine,46.5224,6.6329,2538173.6,1152662.8,coworking,coworking,4,Madeleine Coworking,indoor,24/7,yes,5.0,5,Lausanne,no,yes,25,Unbeatable location; between Lausanne's two most popular squares,Google Places,Intimate; very central
WIFI_040,BCU Lausanne Unithèque,46.5213,6.5773,2533906.1,1152585.9,library,institutional_wifi,4,public-bcu / public-unil / eduroam,indoor,library hours,yes,,,Lausanne,no,yes,free,UNIL campus; eduroam available,bcu-lausanne.ch,University campus; eduroam
WIFI_041,EPFL Campus,46.5191,6.566,2533036.4,1152350.9,university,institutional_wifi,5,EPFL-WiFi / eduroam,indoor,campus hours,yes,,,Lausanne,no,yes,affiliation required,,epfl.ch,"14,000 students; full campus WiFi coverage; eduroam"
WIFI_042,UNIL Dorigny Campus,46.5213,6.5773,2533906.1,1152585.9,university,institutional_wifi,5,UNIL-WiFi / eduroam,indoor,campus hours,yes,,,Lausanne,no,yes,affiliation required,,unil.ch,"15,000 students; lakeside campus; eduroam"
WIFI_043,Parc de Montbenon Citycable WiFi,46.517,6.624,2537484.5,1152069.6,public_park,municipal_wifi,3,VDL-public / Citycable,outdoor,24/7,no,,,Lausanne,no,no,free,Lake-view park,lausanne.ch,Park with lake views; Citycable network
WIFI_044,Lavaux UNESCO Vineyard — Wifi Desert (Pully to Vevey),46.495,6.75,2547132.0,1149531.2,heritage_landscape,wifi_desert,1,none,outdoor,N/A,no,,,desert,yes,no,N/A,The most scenic stretch of the corridor is entirely offline,research,"WIFI DESERT 3 — 15km UNESCO heritage stretch; Pully, Lutry, Cully, Rivaz, Saint-Saphorin. Zero public WiFi. SBB stations at Pully, Lutry, Cully lack SBB-FREE."
WIFI_045,Cully (no public WiFi),46.49,6.732,2545745.1,1148987.7,village,wifi_desert,1,none,N/A,N/A,no,,,desert,yes,no,N/A,,research,Lavaux village; no SBB-FREE at station
WIFI_046,Lutry (no public WiFi),46.5023,6.686,2542226.5,1150387.9,village,wifi_desert,1,none,N/A,N/A,no,,,desert,yes,no,N/A,,research,Lavaux village; no SBB-FREE
WIFI_047,Vevey SBB-FREE,46.4631,6.8433,2554267.6,1145926.4,train_station,sbb_free,4,SBB-FREE,indoor,05:00-01:00,yes,4.1,157,Vevey,no,no,free,Nestlé HQ nearby; waterfront short walk,Google Places + data.sbb.ch,Nestlé HQ ecosystem; historic town
WIFI_048,Place du Marché Vevey Municipal WiFi,46.4613,6.843,2554243.1,1145726.5,public_square,municipal_wifi,2,Wifx (Vevey municipality),outdoor,24/7,no,,,Vevey,no,no,free,Historic municipal WiFi (since 2004); restored 2018; coverage limited,vevey.ch,One of Switzerland's oldest municipal WiFi programs (2004); limited coverage
WIFI_049,TheWorkHub Vevey,46.457,6.8536,2555053.8,1145242.4,coworking,coworking,5,TheWorkHub,indoor,24/7,yes,4.9,34,Vevey,no,yes,39,True international community; fast internet; free coffee,Google Places,"1,200m²; 100+ members; near Nestlé HQ"
WIFI_050,Vibration Workingshare Vevey,46.4651,6.8396,2553985.1,1146150.9,coworking,coworking,3,Vibration,indoor,24/7,yes,4.4,7,Vevey,no,no,30,Management issues flagged in reviews,Google Places,Mixed reviews; management concerns
WIFI_051,Coworking Vevey Communaux,46.4623,6.8439,2554313.1,1145837.2,coworking,coworking,4,Communaux Coworking,indoor,08:00-19:00 Mon-Fri,yes,5.0,1,Vevey,no,no,30,,Google Places,Small sample size
WIFI_052,Montreux SBB-FREE,46.4358,6.9104,2559401.5,1142854.7,train_station,sbb_free,4,SBB-FREE,indoor,05:00-01:00,yes,3.9,20,Montreux,no,no,free,3-gauge junction; GoldenPass line,Google Places + data.sbb.ch,GoldenPass line; 7 platforms; gateway to eastern corridor
WIFI_053,Quai de Vernex Municipal WiFi,46.433,6.912,2559522.4,1142542.6,public_promenade,municipal_wifi,2,Commune de Montreux,outdoor,unknown,no,,,Montreux,no,no,free,Single municipal hotspot on famous waterfront,wifimap.io,"ONE hotspot on entire Montreux waterfront — Jazz Festival, Freddie Mercury statue area"
WIFI_054,Coworking Montreux (at Gare platform 1),46.4368,6.9098,2559356.1,1142966.2,coworking,coworking,5,Coworking Montreux,indoor,08:00-18:00 Mon-Fri,yes,4.9,12,Montreux,no,yes,35,Literally on the station platform; 2-minute walk from the lake. Beautifully designed.,Google Places,560m²; built INTO station platform 1; coworking anchored to transit
WIFI_055,Five Coworking Montreux,46.4303,6.9129,2559589.5,1142242.0,coworking,coworking,4,Five,indoor,08:00-17:00 Mon-Fri,yes,5.0,11,Montreux,no,yes,35,Magnificent; enormous display windows all around; ultra-modern kitchen,Google Places,Near waterfront; Jazz Festival pop-ups
WIFI_056,Villeneuve (no public WiFi — corridor end),46.399,6.933,2561112.0,1138752.4,town_center,wifi_desert,1,none,N/A,N/A,no,,,desert,yes,no,N/A,,research,"WIFI DESERT 4 — Eastern corridor terminus: no municipal WiFi, no SBB-FREE, no coworking. Complete absence."
